record_id,user_id,date,screen_time_minutes,unlock_count,app_switch_count,typing_speed_wpm,scroll_speed,night_usage_minutes,social_app_minutes,productive_app_minutes,night_ratio,unlock_intensity,fragmentation_index,agitation_score,social_ratio,social_opens_per_hour,social_session_avg,social_session_var,late_night_social_ratio,social_inter_open_gap_min,self_report_score,label,prev_label_lag1,roll_3d_screen_time_minutes,roll_7d_screen_time_minutes,roll_3d_social_ratio,roll_7d_social_ratio,roll_3d_app_switch_count,roll_7d_app_switch_count,roll_3d_scroll_speed,roll_7d_scroll_speed,roll_3d_typing_speed_wpm,roll_7d_typing_speed_wpm,dod_pct_screen_time_minutes,dod_pct_app_switch_count,dod_pct_scroll_speed,dod_pct_typing_speed_wpm,raw_formula_stress,stress_score,raw_formula_anxiety,anxiety_score,raw_formula_burnout,burnout_score,raw_formula_addiction,addiction_score,stress_level,anxiety_level,burnout_level,addiction_level
REC_000001,user_001,2026-01-01,550.61,204,397,41.68,632.92,176.61,320.58,34.58,0.3208,0.3705,0.3605,0.3922,0.5822,12.8584,2.72,0.9,0.3208,7.54,1,Addiction,0,550.61,550.61,0.5822,0.5822,397.0,397.0,632.92,632.92,41.68,41.68,0.0,0.0,0.0,0.0,0.4224,0.4276,0.3002,0.3713,0.4617,0.5117,0.4577,0.3921,Medium,High,High,High
REC_000002,user_001,2026-01-02,587.65,188,387,45.78,689.34,156.14,349.21,34.6,0.2657,0.3199,0.3293,0.379,0.5943,11.3332,3.15,1.21,0.2657,7.68,1,Addiction,2,550.61,550.61,0.5822,0.5822,397.0,397.0,632.92,632.92,41.68,41.68,0.0673,-0.0252,0.0891,0.0984,0.4366,0.4893,0.285,0.202,0.4423,0.5,0.4308,0.4062,High,Medium,High,High
REC_000003,user_001,2026-01-03,443.52,184,333,34.11,634.8,181.9,332.57,50.02,0.4101,0.4149,0.3754,0.4107,0.7499,18.5335,2.43,0.72,0.4101,7.27,3,Addiction,2,569.13,569.13,0.5883,0.5883,392.0,392.0,661.13,661.13,43.73,43.73,-0.2453,-0.1395,-0.0791,-0.2549,0.4,0.4149,0.3132,0.2914,0.478,0.5282,0.6083,0.5915,Medium,High,High,High
REC_000004,user_001,2026-01-04,504.55,172,295,52.18,436.81,111.82,335.85,62.94,0.2216,0.3409,0.2923,0.3252,0.6656,13.5566,2.95,1.06,0.2216,8.21,3,Addiction,2,527.26,527.26,0.6421,0.6421,372.3333,372.3333,652.3533,652.3533,40.5233,40.5233,0.1376,-0.1141,-0.3119,0.5298,0.3613,0.3813,0.2503,0.3458,0.3793,0.3249,0.4683,0.4711,Medium,High,Medium,High
REC_000005,user_001,2026-01-05,614.93,156,331,63.37,556.47,183.58,406.99,63.5,0.2985,0.2537,0.2691,0.3479,0.6619,10.0499,3.95,1.91,0.2985,8.01,1,Addiction,2,511.9067,521.5825,0.6699,0.648,338.3333,353.0,586.9833,598.4675,44.0233,43.4375,0.2188,0.122,0.2739,0.2144,0.4152,0.3951,0.2532,0.2781,0.4318,0.4081,0.4548,0.5164,Medium,Medium,Medium,High
REC_000006,user_001,2026-01-06,483.24,168,265,69.84,723.33,179.64,276.28,50.12,0.3717,0.3477,0.2742,0.4265,0.5717,11.9196,2.88,1.01,0.3717,9.97,3,Addiction,2,521.0,540.252,0.6925,0.6508,319.6667,348.6,542.6933,590.068,49.8867,47.424,-0.2142,-0.1994,0.2999,0.1021,0.445,0.4777,0.2802,0.2112,0.4038,0.4901,0.4594,0.4376,High,Medium,High,High
REC_000007,user_001,2026-01-07,518.04,246,306,48.64,769.59,121.07,358.84,44.35,0.2337,0.4749,0.2953,0.4229,0.6927,19.6896,2.11,0.55,0.2337,5.42,2,Addiction,2,534.24,530.75,0.6331,0.6376,297.0,334.6667,572.2033,612.2783,61.7967,51.16,0.072,0.1547,0.064,-0.3036,0.4368,0.4466,0.3045,0.3294,0.3968,0.3869,0.5441,0.4681,High,High,Medium,High
REC_000008,user_001,2026-01-08,560.63,168,300,49.32,566.22,182.18,365.87,83.11,0.325,0.2997,0.2676,0.3448,0.6526,11.6655,3.36,1.38,0.325,8.07,1,Addiction,2,538.7367,528.9343,0.6421,0.6455,300.6667,330.5714,683.13,634.7514,60.6167,50.8,0.0822,-0.0196,-0.2643,0.014,0.3874,0.4492,0.2513,0.2402,0.452,0.4792,0.4752,0.5515,High,Medium,High,High
REC_000009,user_001,2026-01-09,580.35,187,344,57.12,578.82,156.03,416.2,82.95,0.2689,0.3222,0.2964,0.3643,0.7172,13.8538,3.11,1.18,0.2689,6.42,4,Addiction,2,520.6367,530.3657,0.639,0.6555,290.3333,316.7143,686.38,625.2229,55.9333,51.8914,0.0352,0.1467,0.0223,0.1582,0.4152,0.4238,0.2751,0.316,0.4184,0.4588,0.5061,0.5429,Medium,High,Medium,High
REC_000010,user_001,2026-01-10,672.55,167,364,47.78,481.54,106.76,389.21,74.69,0.1587,0.2483,0.2706,0.2888,0.5787,8.5644,4.05,2.01,0.1587,7.99,2,Addiction,2,553.0067,529.3229,0.6875,0.6731,316.6667,310.5714,638.21,609.4343,51.6933,53.5114,0.1589,0.0581,-0.1681,-0.1635,0.3838,0.3103,0.2301,0.2178,0.4211,0.5033,0.3647,0.2979,Medium,Medium,High,Medium
